Which organism did Gregor Mendel use for his primary genetic experiments?,Fruit flies,Garden peas,Mice,Snapdragons,Garden peas
An organism with two identical alleles for a specific trait is:,Heterozygous,Phenotypic,Homozygous,Hemizygous,Homozygous
Which law states that allele pairs separate during gamete formation?,Law of Independent Assortment,Law of Segregation,Law of Dominance,Law of Unit Characters,Law of Segregation
The observable physical characteristics of an organism are known as its:,Genotype,Allele frequency,Phenotype,Pedigree,Phenotype
In a cross between two heterozygous individuals (Aa x Aa); what is the expected genotypic ratio?,3:1,9:3:3:1,1:2:1,1:1,1:2:1
Which law explains why the inheritance of seed color does not affect the inheritance of seed shape?,Law of Segregation,Law of Independent Assortment,Law of Dominance,Law of Multiple Alleles,Law of Independent Assortment
What is the term for a cross used to determine the genotype of an individual showing a dominant phenotype?,Back cross,Dihybrid cross,Test cross,Reciprocal cross,Test cross
If round seeds (R) are dominant to wrinkled seeds (r); what is the genotype of a wrinkled seed?,RR,Rr,rr,rR,rr
In Mendel’s F2 generation of a monohybrid cross; the phenotypic ratio was approximately:,1:1,2:1,3:1,4:0,3:1
Different versions of a specific gene are called:,Loci,Traits,Alleles,Chromatids,Alleles
What is the phenotypic ratio of a dihybrid cross between two double-heterozygotes (RrYy x RrYy)?,1:1:1:1,3:1,1:2:1,9:3:3:1,9:3:3:1
If a homozygous dominant parent (AA) is crossed with a homozygous recessive parent (aa); the F1 offspring will be:,All AA,All aa,All Aa,50% Aa and 50% aa,All Aa
Which of the following represents a heterozygous genotype?,BB,bb,Bb,B,Bb
Mendel's "factors" are now known as:,Proteins,Carbohydrates,Genes,Ribosomes,Genes
When Mendel crossed true-breeding purple-flowered plants with true-breeding white-flowered plants; the F1 generation was:,All white,All purple,Light purple,50% purple and 50% white,All purple
The Law of Dominance states that:,Recessive alleles mask dominant ones,One allele can mask the expression of another,Alleles always blend together,Traits are only inherited from the mother,One allele can mask the expression of another
How many different types of gametes can be produced by an individual with the genotype AaBb?,2,3,4,8,4
If two parents have the genotype Aa; what is the probability their offspring will show the recessive phenotype?,0%,25%,50%,100%,25%
Why did Mendel remove the stamens from the flowers of some of his pea plants?,To prevent self-pollination,To stop the plant from growing,To induce mutations,To increase the seed count,To prevent self-pollination
The specific physical location of a gene on a chromosome is called a:,Centromere,Locus,Allele,Gamete,Locus
In peas; yellow seeds (Y) are dominant to green seeds (y). A plant with green seeds must be:,YY,Yy,yy,YG,yy
What is the probability of a 'YY' offspring from a cross between 'Yy' and 'Yy' parents?,1/4,1/2,3/4,0,1/4
An individual that is 'true-breeding' for a particular trait is:,Heterozygous,Homozygous,Always dominant,Sterile,Homozygous
In a dihybrid cross (AaBb x AaBb); what fraction of the offspring will be homozygous recessive for both traits?,1/16,3/16,9/16,4/16,1/16
A cross involving only one pair of contrasting traits is called a:,Dihybrid cross,Monohybrid cross,Test cross,Back cross,Monohybrid cross
If a 'Tt' plant is crossed with a 'tt' plant; what is the probability of producing a tall offspring (T is dominant)?,25%,50%,75%,100%,50%
Mendel’s findings were largely ignored until they were rediscovered in the year:,1850,1865,1900,1953,1900
The separation of homologous chromosomes during Meiosis I provides the biological basis for:,The Law of Segregation,The Law of Dominance,DNA Replication,Incomplete Dominance,The Law of Segregation
What is the probability of an AaBb offspring from a cross between AABB and aabb parents?,25%,50%,75%,100%,100%
Which term describes a genotype where both alleles are recessive?,Homozygous dominant,Heterozygous,Homozygous recessive,Hemizygous,Homozygous recessive
